id,cofips,P90_100,P95_100,P99_100,P995_100,P999_100,P9999_100,P90_P95,P95_P99,P99_P995,P995_P999,P999_P9999,P90,P95,P99,P995,P999,P9999,SP90_100,SP95_100,SP99_100,SP995_100,SP999_100,SP9999_100,SP90_SP95,SP95_SP99,SP99_SP995,SP995_SP999,SP999_SP9999,P0_P90,P0_P99,PCPI,nstar,taxpayers,TPTTY,cntyname,year,CPIURS_2015
500,0,64470.00,104632,306662,495941,1452501,5818422,24308,54124,117383,256801,967398,16657,34921,94632,153764,528825,2432978,36,30,17,14,8,3,7,12,3,6,5,12528,14804,17722,40386988,3472890,715745408,United States,1917,17
600,0,63194.00,96397,260847,406257,1097665,4011306,29992,55284,115438,233405,773927,16935,39084,94482,147078,445973,1822200,38,29,16,12,7,2,9,13,3,6,4,11590,14285,16750,40451066,4425114,677573696,United States,1918,14
700,0,64053.00,97798,266003,409709,1065363,3706245,30308,55747,122297,245796,771931,24718,39306,100022,155755,458403,1751157,39,29,16,12,6,2,9,13,4,6,4,11343,14095,16614,41052355,5332760,682054592,United States,1919,13
800,0,55588.00,81892,214385,322174,774459,2403939,29283,48769,106596,209103,593405,25042,35452,86945,136864,377708,1221141,38,28,14,11,5,2,10,13,4,6,4,10288,12802,14818,41909000,7259944,620997440,United States,1920,11
900,0,53617.00,77787,197447,295404,707311,2131793,29446,47873,99489,192427,549035,25180,34583,81978,126446,349444,1116962,41,30,15,11,5,2,11,15,4,6,4,8422,11078,12942,42835195,6662176,554364608,United States,1921,12
1000,0,62097.00,92133,245980,376602,956869,3279467,32062,53671,115359,231535,698803,26891,38655,93292,147980,431829,1480769,42,31,17,13,6,2,11,15,4,6,4,9524,12446,14781,43542909,6787481,643611072,United States,1922,13
1100,0,65713.00,95590,251081,382271,948059,3207110,35835,56718,119890,240824,697053,29264,43715,96101,154279,439283,1468962,40,29,15,12,6,2,11,14,4,6,4,10979,14082,16452,44408549,7698321,730625600,United States,1923,13
1200,0,69279.00,102603,278346,428170,1084274,3714273,35955,58667,128522,264143,792052,28219,44701,103048,166792,485456,1714710,42,31,17,13,7,2,11,14,4,6,4,10497,13729,16375,45384476,7369788,743175104,United States,1924,13
1300,0,68833.00,114655,335792,526156,1413846,5491650,23010,59371,145429,304233,960757,12308,39604,115363,190920,570734,2266500,40,34,20,15,8,3,7,14,4,7,5,11243,13781,17002,46190081,4171051,785301248,United States,1925,12
1400,0,67609.00,113303,330037,515477,1402269,5576610,21915,59119,144597,293780,938453,11897,38541,115803,187116,552677,2240297,40,33,19,15,8,3,6,14,4,7,5,11368,13830,16992,46940016,4138092,797588928,United States,1926,12
1500,0,69943.00,118613,354362,559458,1559685,6327456,21272,59676,149265,309402,1029933,11842,38654,119053,193816,592074,2581402,40,34,21,16,9,4,6,14,4,7,5,11424,13871,17276,47722889,4101547,824443072,United States,1927,13
1600,0,78354.00,135197,424760,688374,2047643,8914746,21512,62806,161146,348556,1284632,11773,39635,127333,211776,700778,3470117,43,37,23,19,11,5,6,14,4,8,6,11501,14079,18186,48444950,4070851,881022144,United States,1928,13
1700,0,76269.00,131864,408945,661052,1996655,9129680,20674,62594,156838,327151,1204097,11543,39312,125839,203226,638164,3293201,41,35,22,18,11,5,6,13,4,7,6,12362,14811,18752,49084788,4136872,920453184,United States,1929,13
1800,0,57770.00,97950,271995,417050,1117189,4492208,17591,54438,126941,242015,742187,10938,30211,104423,159188,440072,1772402,36,30,17,13,7,3,5,13,4,6,4,11567,13603,16187,49750000,3852376,805309568,United States,1930,13
1900,0,48967.00,83164,218785,326539,831947,3176093,14769,49259,111032,200187,571487,10602,28896,92560,137501,346941,1311060,34,29,15,11,6,2,5,14,4,6,4,10636,12406,14470,50461666,3410507,730155328,United States,1931,14
2000,0,45499.00,73524,183362,274007,703640,2345029,17475,46064,92717,166598,521264,13513,31073,78961,113317,299500,1163482,38,30,15,11,6,2,7,15,4,6,4,8369,10352,12082,51117350,4083723,617595968,United States,1932,16
2100,0,45586.00,74211,191533,290082,769020,2727828,16961,44881,92983,170348,551375,13595,22182,77847,114301,311195,1255847,38,31,16,12,6,2,7,15,4,6,4,8187,10113,11927,51757038,3892007,617311360,United States,1933,17
2200,0,50035.00,81209,208799,313026,780481,2641535,18861,49312,104571,196162,573697,14199,28447,87831,131498,358280,1264962,38,31,16,12,6,2,7,15,4,6,4,8910,11045,13022,52429938,4198590,682752384,United States,1934,16
2300,0,54743.00,88590,232123,351786,890166,3048282,20896,52707,112461,217191,650376,14950,34652,93146,142892,398555,1451939,38,31,16,12,6,2,7,15,4,6,4,9743,12042,14243,53147098,4669621,756976064,United States,1935,16
2400,0,66606.00,107651,299357,461257,1174364,3940037,25562,59724,137456,282980,867067,16778,42405,112010,179853,527034,1917237,42,34,19,15,7,2,8,15,4,7,5,10247,13019,15883,53844313,5486771,855193088,United States,1936,16
2500,0,65988.00,102414,272431,413810,1031804,3456837,29561,59910,131051,259312,762356,17987,44040,107702,168605,471794,1666016,41,31,17,13,6,2,9,15,4,6,4,10736,13674,16261,54539105,6434052,886878400,United States,1937,15
2600,0,59191.00,90740,226351,337088,833906,3048902,27641,56837,115615,212883,587795,17552,43076,96969,145201,373820,1382498,39,30,15,11,6,2,9,15,4,6,4,10118,12891,15026,55342212,6251009,831548224,United States,1938,15
2700,0,68034.00,99515,247689,368404,893182,2971490,36553,62471,126974,237210,662259,29607,48168,106261,159625,416422,1453219,43,31,16,12,6,2,11,16,4,6,4,10177,13622,15963,56181362,7652781,896813440,United States,1939,16
